cst,c_class_trib,descricao,ativo,destaque
000,000001,Situações tributadas integralmente pelo IBS e CBS,1,1
000,000002,Exploração de via,1,1
000,000003,Regime automotivo - projetos incentivados (art. 311),1,0
000,000004,Regime automotivo - projetos incentivados (art. 312),1,0
000,000005,"Operação com EAC destinado à mistura com gasolina A, mas com saída do biocombustível com destinação diversa",1,0
010,010001,Operações do FGTS não realizadas pela Caixa Econômica Federal,1,0
010,010002,Operações do serviço financeiro,1,0
011,011001,Planos de assistência funerária,1,0
011,011002,Planos de assistência à saúde,1,0
011,011003,Intermediação de planos de assistência à saúde,1,0
011,011004,Concursos e prognósticos,1,0
011,011005,Planos de assistência à saúde de animais domésticos,1,0
200,200001,Serviços de transporte de bens até as zonas de processamento de exportação e bens exportados a partir das zonas de processamento de exportação,1,0
200,200002,Fornecimento ou importação para produtor rural não contribuinte ou TAC,1,0
200,200003,Vendas de produtos destinados à alimentação humana (Anexo I),1,0
200,200004,Fornecimento de dispositivos médicos (Anexo XII),1,0
200,200005,Fornecimento de dispositivos médicos para órgãos da administração pública e entidades de saúde imunes (Anexo IV),1,0
200,200006,Situação de emergência de saúde pública reconhecida pelo Poder público,1,0
200,200007,Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência (Anexo XIII),1,0
200,200008,Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência adquiridos por órgãos da administração pública (Anexo V),1,0
200,200009,Fornecimento dos medicamentos registrados na Anvisa,1,0
200,200010,"Fornecimento dos medicamentos registrados na Anvisa, adquiridos por órgãos da administração pública",1,0
200,200011,Fornecimento das composições para nutrição enteral e parenteral quando adquiridas por órgãos da administração pública (Anexo VI),1,0
200,200012,Situação de emergência de saúde pública reconhecida pelo Poder público (medicamentos),1,0
200,200013,"Fornecimento de tampões higiênicos, absorventes higiênicos internos ou externos",1,0
200,200014,"Fornecimento dos produtos hortícolas, frutas e ovos (Anexo XV)",1,0
200,200015,Venda de automóveis de passageiros de fabricação nacional adquiridos por motoristas profissionais ou pessoas com deficiência,1,0
200,200016,"Prestação de serviços de pesquisa e desenvolvimento por Instituição Científica, Tecnológica e de Inovação (ICT)",1,1
200,200017,Operações relacionadas ao FGTS,1,0
200,200018,Operações de resseguro e retrocessão,1,0
200,200019,Importador dos serviços financeiros contribuinte,1,0
200,200020,Operação praticada por sociedades cooperativas optantes por regime específico do IBS e CBS,1,0
200,200021,Serviços de transporte público coletivo de passageiros ferroviário e hidroviário,1,0
200,200022,Operação originada fora da ZFM que destine bem material industrializado a contribuinte estabelecido na ZFM,1,1
200,200023,Operação realizada por indústria incentivada que destine bem material intermediário para outra indústria incentivada na ZFM,1,1
200,200024,Operação originada fora das Áreas de Livre Comércio destinadas a contribuinte estabelecido nas Áreas de Livre Comércio,1,0
200,200025,Fornecimento dos serviços de educação relacionados ao Programa Universidade para Todos (Prouni),1,0
200,200026,Locação de imóveis localizados nas zonas reabilitadas,1,0
200,200027,"Operações de locação, cessão onerosa e arrendamento de bens imóveis",1,0
200,200028,Fornecimento dos serviços de educação (Anexo II),1,0
200,200029,Fornecimento dos serviços de saúde humana (Anexo III),1,0
200,200030,Venda dos dispositivos médicos (Anexo IV),1,0
200,200031,Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência (Anexo V),1,0
200,200032,"Fornecimento dos medicamentos registrados na Anvisa ou produzidos por farmácias de manipulação, ressalvados os medicamentos sujeitos à alíquota zero",1,0
200,200033,Fornecimento das composições para nutrição enteral e parenteral (Anexo VI),1,0
200,200034,Fornecimento dos alimentos destinados ao consumo humano (Anexo VII),1,0
200,200035,Fornecimento dos produtos de higiene pessoal e limpeza (Anexo VIII),1,0
200,200036,"Fornecimento de produtos agropecuários, aquícolas, pesqueiros, florestais e extrativistas vegetais in natura",1,0
200,200037,Fornecimento de serviços ambientais de conservação ou recuperação da vegetação nativa,1,0
200,200038,Fornecimento dos insumos agropecuários e aquícolas (Anexo IX),1,0
200,200039,"Fornecimento dos bens e serviços relacionados com produções nacionais artísticas, culturais, de eventos, jornalísticas e audiovisuais (Anexo X)",1,0
200,200040,Fornecimento de serviços de comunicação institucional à administração pública,1,0
200,200041,Fornecimento de serviço de educação desportiva (art. 141. I),1,0
200,200042,Fornecimento de serviço de gestão e exploração do desporto (art. 141. II),1,0
200,200043,Fornecimento à administração pública dos serviços e dos bens relativos à soberania (Anexo XI),1,0
200,200044,Operações e prestações de serviços de segurança da informação e segurança cibernética desenv por sociedade que tenha sócio brasileiro (Anexo XI),1,1
200,200045,Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística,1,0
200,200046,Operações com bens imóveis,1,0
200,200047,Bares e Restaurantes,1,0
200,200048,"Hotelaria, Parques de Diversão e Parques Temáticos",1,0
200,200049,"Transporte coletivo de passageiros rodoviário, ferroviário e hidroviário",1,0
200,200050,Serviços de transporte aéreo regional coletivo de passageiros ou de carga,1,0
200,200051,Agências de Turismo,1,0
200,200052,Prestação de serviços de profissões intelectuais,1,1
200,200053,"Fornecimento de medicamentos registrados na Anvisa, quando classificados como soros ou vacinas",1,0
200,200054,Fornecimento de bem material pela cooperativa de produção agropecuária a associado não sujeito ao regime regular do IBS e da CBS,1,0
220,220001,Incorporação imobiliária submetida ao regime especial de tributação,1,0
220,220002,Incorporação imobiliária submetida ao regime especial de tributação (alíquota diferenciada),1,0
220,220003,Alienação de imóvel decorrente de parcelamento do solo,1,0
221,221001,"Locação, cessão onerosa ou arrendamento de bem imóvel com alíquota sobre a receita bruta",1,0
221,221002,Incorporação imobiliária submetida ao regime especial de tributação,1,0
221,221003,Incorporação imobiliária submetida ao regime especial de tributação,1,0
221,221004,Alienação de imóvel decorrente de parcelamento do solo,1,0
222,222001,"Transporte internacional de passageiros, caso os trechos de ida e volta sejam vendidos em conjunto",1,0
400,400001,Fornecimento de serviços de transporte público coletivo de passageiros rodoviário e metroviário,1,1
400,400002,Fornecimento de serviços de transporte público coletivo de passageiros rodoviário e metroviário com medição por quilômetro rodado,1,0
410,410001,Fornecimento de bonificações quando constem no documento fiscal e que não dependam de evento posterior,1,1
410,410002,Transferências entre estabelecimentos pertencentes ao mesmo contribuinte,1,0
410,410003,Doações sem contraprestação em benefício do doador,1,0
410,410004,Exportações de bens e serviços,1,1
410,410005,"Fornecimentos realizados pela União, pelos Estados, pelo Distrito Federal e pelos Municípios",1,0
410,410006,Fornecimentos realizados por entidades religiosas e templos de qualquer culto,1,0
410,410007,"Fornecimentos realizados por partidos políticos, entidades sindicais e instituições de educação e de assistência social",1,0
410,410008,"Fornecimentos de livros, jornais, periódicos e do papel destinado a sua impressão",1,0
410,410009,Fornecimentos de fonogramas e videofonogramas musicais produzidos no Brasil,1,0
410,410010,Fornecimentos de serviço de comunicação nas modalidades de radiodifusão sonora e de sons e imagens de recepção livre e gratuita,1,0
410,410011,"Fornecimentos de ouro, quando definido em lei como ativo financeiro ou instrumento cambial",1,0
410,410012,Fornecimento de condomínio edilício não optante pelo regime regular,1,0
410,410013,Exportações de combustíveis,1,0
410,410014,Fornecimento de produtor rural não contribuinte,1,0
410,410015,Fornecimento por transportador autônomo não contribuinte,1,0
410,410016,Fornecimento ou aquisição de resíduos sólidos,1,0
410,410017,Aquisição de bem móvel com crédito presumido sob condição de revenda realizada,1,0
410,410018,Operações relacionadas aos fundos garantidores e executores de políticas públicas,1,0
410,410019,Exclusão da gorjeta na base de cálculo no fornecimento de alimentação,1,0
410,410020,Exclusão do valor de intermediação na base de cálculo no fornecimento de alimentação,1,0
410,410021,Contribuição de que trata o art. 149-A da Constituição Federal,1,0
410,410022,Consolidação da propriedade do bem pelo credor,1,0
410,410023,Alienação de bens móveis ou imóveis que tenham sido objeto de garantia em que o prestador da garantia não seja contribuinte,1,0
410,410024,Consolidação da propriedade do bem pelo grupo de consórcio,1,0
410,410025,Alienação de bem que tenha sido objeto de garantia em que o prestador da garantia não seja contribuinte,1,0
410,410026,Doação com anulação de crédito,1,0
410,410027,Exportação de serviço ou de bem imaterial,1,1
410,410028,Operações com bens imóveis realizadas por pessoas físicas não consideradas contribuintes,1,0
410,410029,Operações acobertadas somente pelo ICMS,1,0
410,410030,"Estorno de crédito por perecimento, deteriorização, roubo, furto ou extravio",1,0
410,410031,Fornecimento em período anterior ao início de vigência de incidências de CBS e IBS,1,0
410,410032,Tributos incidentes na operação que não integram a base de cálculo do IBS e da CBS,1,0
410,410033,Operações de Fundos de Investimento Imobiliário (FII) e Fundos de Investimento nas Cadeias Produtivas do Agronegócio (Fiagro),1,0
410,410034,Operações de fundos de investimento,1,0
410,410035,Fornecimento realizado por nanoempreendedor,1,0
410,410036,Descontos incondicionais,1,0
410,410037,Importação de bens materiais sem incidência de IBS e CBS,1,0
410,410999,"Operações não onerosas sem previsão de tributação, não especificadas anteriormente",1,0
510,510001,"Operações, sujeitas a diferimento, com energia elétrica, relativas à importação, geração, comercialização, distribuição e transmissão",1,1
515,515001,"Operações, sujeitas a diferimento, com insumos agropecuários e aquícolas (Anexo IX)",1,0
550,550001,Exportações de bens materiais,1,0
550,550002,Regime de Trânsito,1,0
