codigo,descricao,ativo
101011100,Serviços de construção de edificações residenciais de um e dois pavimentos,1
101011200,Serviços de construção de edificações residenciais com mais de dois pavimentos,1
101012100,Serviços de construção de edificações industriais,1
101012200,Serviços de construção de edificações comerciais,1
101012900,Serviços de construção de edificações não residenciais não classificados em subposições anteriores,1
101013000,Serviços de construção de edificações de uso misto (residencial e não residencial),1
101021100,"Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas e estradas",1
101021200,Serviços de construção de ferrovias,1
101021300,Serviços de construção de pistas de pouso e decolagem em aeroportos e de infraestrutura aeroportuária,1
101022000,"Serviços de construção de pontes, autoestradas elevadas e túneis",1
101023100,Serviços de construção de infraestrutura de proteção e acesso aquaviário,1
101023200,Serviços de construção de infraestrutura de acostagem aquaviária,1
101023300,Serviços de construção de infraestrutura terrestre e de obras de engenharia afins nos portos,1
101023400,Serviços de construção de barragens,1
101023510,Serviços de construção de adutoras em conduto livre,1
101023520,Serviços de construção de sistemas de irrigação,1
101023530,"Serviços de construção relacionada ao controle dos cursos de água, inclusive canalização",1
101024110,"Serviços de construção de dutos de longo curso para o transporte de petróleo, seus derivados, e gás",1
101024120,Serviços de construção de dutos de longo curso para o transporte e escoamento de águas,1
101024190,Serviços de construção de dutos de longo curso não classificados em subposições anteriores,1
101024210,Serviços de construção de linhas de comunicação de longo curso,1
101024220,Serviços de construção de linhas de transmissão de alta tensão,1
101025100,Serviços de construção de dutos locais,1
101025210,Serviços de construção de linhas locais de comunicação,1
101025220,Serviços de construção de linhas locais de transmissão de baixa e média tensão,1
101025310,Serviços de construção de sistemas de esgotos,1
101025320,"Serviços de construção de sistemas de estações para elevação, tratamento e purificação de água",1
101026100,Serviços de construção de usinas de geração de energia,1
101026900,Serviços de construção de instalações industriais não classificados em subposições anteriores,1
101027000,Serviços de construção de minas e suas unidades industriais,1
101028000,Serviços de construção de instalações para recreação e atividades desportivas ao ar livre,1
101029000,Serviços de construção de obras de engenharia civil não classificados em subposições anteriores,1
101031000,Serviços de demolição,1
101032000,Serviços de preparação de terrenos e de canteiros de obras,1
101033000,Serviços de escavação e remoção de terra,1
101034100,Serviços de perfuração de poços de água,1
101034200,Serviços de instalação de sistemas sépticos,1
101040000,Serviços de montagem e de edificação de construções pré-fabricadas,1
101051100,Serviços de estaqueamento,1
101051200,Serviços de fundação,1
101052100,Serviços de construção de estruturas de edificações,1
101052200,Serviços de construção de estruturas de telhados e coberturas,1
101053000,Serviços de construção de telhados e coberturas e serviços de impermeabilização,1
101054000,Serviços de concretagem,1
101055000,Serviços de montagem de estruturas de aço,1
101056000,Serviços de alvenaria,1
101057000,Serviços de andaimes,1
101059000,Serviços especializados de construção não classificados em subposições anteriores,1
101061100,Serviços de instalação de fiação elétrica e componentes,1
101061200,Serviços de instalação de alarmes contra incêndio,1
101061300,Serviços de instalação de sistemas de alarmes antifurto,1
101061400,Serviços de instalação de antenas residenciais,1
101061900,Serviços de instalação elétrica não classificados em subposições anteriores,1
101062100,Serviços de instalação de tubulação para fornecimento de água,1
101062200,Serviços de instalação de tubulação para escoamento de água,1
101063100,Serviços de instalação de equipamentos de aquecimento,1
101063200,Serviços de instalação de equipamentos de ventilação e de ar condicionado,1
101064000,Serviços de instalação de gás,1
101065000,Serviços de instalação de isolamentos,1
101066000,"Serviços de instalação de elevadores, esteiras e escadas rolantes",1
101069000,Serviços de instalação não classificados em subposições anteriores,1
101071000,Serviços de vidraçaria,1
101072000,Serviços de gesso e de estuque,1
101073000,Serviços de pintura,1
101074000,Serviços de revestimento de pisos e de paredes,1
101075000,Serviços de carpintaria e de serralharia,1
101076000,Serviços de instalação de cercas e grades,1
101079000,Serviços de acabamento não classificados em subposições anteriores,1
102010000,Serviços de intermediação na distribuição de mercadorias,1
102020000,Comércio atacadista,1
102030000,Comércio varejista,1
102040000,Serviços de despacho aduaneiro,1
102050000,Serviços de intermediação na comercialização de energia elétrica,1
103011000,Fornecimento de refeições acompanhado de serviços de restaurante,1
103012100,Fornecimento de refeições pelo sistema de autosserviço (self-service),1
103012200,Fornecimento de comidas rápidas (fast-food),1
103012900,Fornecimento de refeições com serviços limitados de restaurante não classificado em subposições anteriores,1
103013100,Fornecimento de alimentação para eventos,1
103013200,Fornecimento de alimentação para operadores de transportes (comissaria ou catering),1
103013900,"Fornecimento de alimentação, incluindo refeições, sob contrato não classificado em subposições anteriores",1
103019000,Fornecimento de alimentação não classificado em subposições anteriores,1
103020000,"Fornecimento de bebidas em bares, cervejarias e outros",1
103031100,"Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, com serviços diários de faxina",1
103031200,"Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, sem serviços diários de faxina",1
103031300,"Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, em propriedades partilhadas",1
103031400,"Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, em quartos de múltipla ocupação",1
103032000,Serviços de acampamentos turísticos (camping),1
103039000,Serviços de hospedagem para visitantes não classificados em subposições anteriores,1
103041000,Serviços de hospedagem em quartos ou unidades de hospedagem para estudantes em residências estudantis,1
103042000,Serviços de hospedagem em quartos ou unidades de hospedagem para trabalhadores em hotéis ou campos,1
103049000,"Serviços de hospedagem, exceto para visitantes não classificados em subposições anteriores",1
104011111,Serviços de transporte rodoviário local prestados exclusivamente por meio de ônibus,1
104011119,"Serviços de transporte rodoviário local regular de passageiros, exceto em áreas metropolitanas não classificados em subitens anteriores",1
104011120,"Serviços de transporte rodoviário local regular de passageiros, em áreas metropolitanas",1
104011210,Serviços de transporte escolar,1
104011220,Serviços de transporte para aeroportos (shuttle),1
104011290,Serviços especiais de transporte rodoviário local regular de passageiros não classificados em itens anteriores,1
104011300,Serviços de táxi,1
104011400,"Serviços de carro com motorista, exceto táxi",1
104011510,"Serviços de fretamento contínuo, local",1
104011520,"Serviços de fretamento eventual ou turístico, local",1
104011610,Serviços de transporte ferroviário local de passageiros,1
104011620,Serviços de transporte metroviário (metrô) local de passageiros,1
104011690,Serviços de transporte local de passageiros por veículos sobre trilhos não classificados em itens anteriores,1
104011710,Serviços de transporte rodoviário para passeios turísticos (sightseeing),1
104011720,Serviços de transporte ferroviário para passeios turísticos (sightseeing),1
104011790,Serviços de transporte terrestre para passeios turísticos (sightseeing) não classificados em itens anteriores,1
104011900,Serviços de transporte terrestre local de passageiros não classificados em subposições anteriores,1
104012110,"Serviços de transporte aquaviário local de passageiros, por navegação interior, em embarcações para travessia",1
104012120,"Serviços de transporte aquaviário local de passageiros, por navegação interior, em embarcações para cruzeiros",1
104012190,"Serviços de transporte aquaviário local de passageiros, por navegação interior não classificados em itens anteriores",1
104012200,Serviços de transporte aquaviário local de passageiros por fretamento,1
104012300,Serviços de transporte aquaviário para passeios turísticos (sightseeing),1
104012900,Serviços de transporte aquaviário local de passageiros não classificados em subposições anteriores,1
104013000,Serviços de transporte integrado local de passageiros,1
104014100,Serviços de táxi aéreo local,1
104014200,Serviços de transporte aéreo local de passageiros por fretamento,1
104014300,Serviços de transporte aéreo para passeios turísticos (sightseeing),1
104014900,Serviços de transporte aéreo local de passageiros não classificados em subposições anteriores,1
104019000,Serviços de transporte local de passageiros não classificados não classificados em subposições anteriores,1
104021110,"Serviços de transporte rodoviário nacional, exceto local, prestados exclusivamente por meio de ônibus",1
104021190,"Serviços de transporte rodoviário nacional, exceto local, de passageiros, não classificados não classificados em subitens anteriores",1
104021200,"Serviços especiais de transporte rodoviário nacional, exceto local, regular de passageiros",1
104021310,"Serviços de fretamento contínuo, nacional, exceto local",1
104021320,"Serviços de fretamento eventual ou turístico, nacional, exceto local",1
104021400,"Serviços de transporte ferroviário nacional, exceto local, de passageiros",1
104021900,"Serviços de transporte terrestre nacional, exceto local, de passageiros não classificados não classificados em subposições anteriores",1
104022110,"Serviços de transporte aquaviário de passageiros, por navegação interior, em embarcações para travessia",1
104022120,"Serviços de transporte aquaviário de passageiros, por navegação interior, em embarcações para cruzeiros",1
104022190,"Serviços de transporte aquaviário nacional, exceto local, de passageiros, por navegação interior não classificados em itens anteriores",1
104022200,Serviços de transporte aquaviário nacional costeiro de passageiros,1
104022300,"Serviços de transporte aquaviário nacional, exceto local, de passageiros por fretamento",1
104022900,"Serviços de transporte aquaviário nacional, exceto local, de passageiros não classificados em subposições anteriores",1
104023100,"Serviços de transporte aéreo nacional, exceto local, regular de passageiros",1
104023200,"Serviços de táxi aéreo nacional, exceto local",1
104023300,"Serviços de transporte aéreo nacional, exceto local, de passageiros, por fretamento",1
104023900,"Serviços de transporte aéreo nacional, exceto local, de passageiros não classificados em subposições anteriores",1
104029000,"Serviços de transporte nacional, exceto local, de passageiros não classificados em subposições anteriores",1
104031110,Serviços de transporte de passageiros prestados exclusivamente por meio de ônibus,1
104031190,Serviços de transporte rodoviário internacional de passageiros não classificados em itens anteriores,1
104031200,Serviços de transporte rodoviário internacional de passageiros por fretamento,1
104031310,Serviços de transporte internacional ferroviário de passageiros,1
104031390,Serviços de transporte internacional de passageiros por veículos sobre trilhos não classificados em itens anteriores,1
104031900,Serviços de transporte terrestre internacional de passageiros não classificados em subposições anteriores,1
104032110,"Serviços de transporte aquaviário internacional de passageiros, por navegação interior, em embarcações para travessia",1
104032120,"Serviços de transporte aquaviário internacional de passageiros, por navegação interior, em embarcações para cruzeiros",1
104032190,"Serviços de transporte aquaviário internacional de passageiros, por navegação interior não classificados em itens anteriores",1
104032200,Serviços de transporte aquaviário internacional costeiro de passageiros,1
104032300,Serviços de transporte aquaviário internacional transoceânico de passageiros,1
104032400,Serviços de transporte aquaviário internacional de passageiros por fretamento,1
104032900,Serviços de transporte aquaviário internacional de passageiros não classificados em subposições anteriores,1
104033100,Serviços de transporte aéreo internacional regular de passageiros,1
104033200,Serviços de táxi aéreo internacional,1
104033300,Serviços de transporte aéreo internacional de passageiros por fretamento,1
104033900,Serviços de transporte aéreo internacional de passageiros não classificados em subposições anteriores,1
104039000,Serviços de transporte internacional de passageiros não classificados em subposições anteriores,1
104041000,Locação de veículos rodoviários de passageiros com motorista,1
104042000,Locação de embarcações de passageiros com tripulação,1
104043000,Locação de aeronaves de passageiros com tripulação,1
104050000,Afretamento de embarcações de passageiros por tempo,1
105011110,Serviços de transporte rodoviário de cargas sólidas a granel,1
105011120,"Serviços de transporte rodoviário de cargas líquidas, ou liquefeitas, a granel",1
105011130,Serviços de transporte rodoviário de cargas gasosas a granel,1
105011210,"Serviços de transporte rodoviário de carga solta, não unitizada",1
105011220,Serviços de transporte rodoviário de carga unitizada,1
105011230,Serviços de transporte rodoviário de carga frigorificada ou climatizada,1
105011310,Serviços de transporte rodoviário de cargas em contêineres frigorificados ou climatizados,1
105011320,Serviços de transporte rodoviário de cargas em contêineres não frigorificados ou climatizados,1
105011410,Serviços de transporte rodoviário de cargas vivas,1
105011420,Serviços de transporte rodoviário de mudanças domésticas e de mobília e outros objetos de escritório,1
105011430,Serviços de transporte rodoviário de cargas de grande porte,1
105011440,Serviços de transporte rodoviário de veículos,1
105011451,"Serviços de transporte rodoviário de combustíveis, lubrificantes e GLP, inclusive apresentados em botijões metálicos",1
105011452,"Serviços de transporte rodoviário de produtos químicos perigosos, exceto lubrificantes e GLP",1
105011459,Serviços de transporte rodoviário de produtos perigosos não classificados em subitens anteriores,1
105011500,Serviços de transporte rodoviário de cargas postais e malotes,1
105011900,Serviços de transporte rodoviário de cargas não classificados em subposições anteriores,1
105012110,Serviços de transporte ferroviário de cargas sólidas a granel,1
105012120,"Serviços de transporte ferroviário de cargas líquidas, ou liquefeitas, a granel",1
105012130,Serviços de transporte ferroviário de cargas gasosas a granel,1
105012210,"Serviços de transporte ferroviário de carga solta, não unitizada",1
105012220,Serviços de transporte ferroviário de carga unitizada,1
105012230,Serviços de transporte ferroviário de carga frigorificada ou climatizada,1
105012310,Serviços de transporte ferroviário de cargas em contêineres frigorificados ou climatizados,1
105012320,Serviços de transporte ferroviário de cargas em contêineres não frigorificados ou climatizados,1
105012410,Serviços de transporte ferroviário de cargas vivas,1
