c_trib_nac,codigo_nbs,c_ind_op,cst,c_class_trib,escopo
010101,115021000,100301,000,000001,ti_manaus
010101,115022000,100301,000,000001,ti_manaus
010101,115024000,100301,000,000001,ti_manaus
010101,115025000,100301,000,000001,ti_manaus
010101,115029000,100301,000,000001,ti_manaus
010101,115030000,100301,000,000001,ti_manaus
010101,115040000,100301,000,000001,ti_manaus
010101,115050000,100301,000,000001,ti_manaus
010101,115071000,100301,000,000001,ti_manaus
010101,115072000,100301,000,000001,ti_manaus
010101,115079000,100301,000,000001,ti_manaus
010201,115021000,100301,000,000001,ti_manaus
010201,115022000,100301,000,000001,ti_manaus
010201,115029000,100301,000,000001,ti_manaus
010301,115061000,100301,000,000001,ti_manaus
010301,115062100,100301,000,000001,ti_manaus
010301,115062200,100301,000,000001,ti_manaus
010301,115062300,100301,000,000001,ti_manaus
010301,115062900,100301,000,000001,ti_manaus
010301,115069000,100301,000,000001,ti_manaus
010301,115090000,100301,000,000001,ti_manaus
010401,115021000,100301,000,000001,ti_manaus
010401,115022000,100301,000,000001,ti_manaus
010401,115029000,100301,000,000001,ti_manaus
010501,111032100,100501,000,000001,ti_manaus
010501,111032200,100501,000,000001,ti_manaus
010501,111032300,100501,000,000001,ti_manaus
010501,111032900,100501,000,000001,ti_manaus
010501,111062000,100501,000,000001,ti_manaus
010501,111072000,100501,000,000001,ti_manaus
010501,115062100,100501,000,000001,ti_manaus
010601,115011000,100301,000,000001,ti_manaus
010601,115012000,100301,000,000001,ti_manaus
010601,115071000,100301,000,000001,ti_manaus
010601,115072000,100301,000,000001,ti_manaus
010601,115079000,100301,000,000001,ti_manaus
010601,115100000,100301,000,000001,ti_manaus
010701,115013000,050101,000,000001,ti_manaus
010701,115080000,100301,000,000001,ti_manaus
010701,115021000,100301,000,000001,ti_manaus
010701,115022000,100301,000,000001,ti_manaus
010801,115023000,100301,000,000001,ti_manaus
010901,117031000,100301,000,000001,ti_manaus
010901,117032100,100301,000,000001,ti_manaus
010901,117032200,100301,000,000001,ti_manaus
010901,117033100,100301,000,000001,ti_manaus
010901,117033200,100301,000,000001,ti_manaus
010901,117039100,100301,000,000001,ti_manaus
010901,117039200,100301,000,000001,ti_manaus
010901,117039900,100301,000,000001,ti_manaus
020101,112011100,100301,000,000001,geral
020101,112011200,100301,000,000001,geral
020101,112011900,100301,000,000001,geral
020101,112012000,100301,000,000001,geral
020101,112013100,100301,000,000001,geral
020101,112013200,100301,000,000001,geral
020101,112013300,100301,000,000001,geral
020101,112013400,100301,000,000001,geral
020101,112013900,100301,000,000001,geral
020101,112014000,100301,000,000001,geral
020101,112015000,100301,000,000001,geral
020101,112019000,100301,000,000001,geral
020101,112021000,100301,000,000001,geral
020101,112022000,100301,000,000001,geral
020101,112023000,100301,000,000001,geral
020101,112024000,100301,000,000001,geral
020101,112029000,100301,000,000001,geral
020101,112030000,100301,000,000001,geral
030201,111033300,100501,000,000001,ti_manaus
030201,111042000,100501,000,000001,geral
030201,111063300,100501,000,000001,geral
030201,111073300,100501,000,000001,geral
030201,111082000,100501,000,000001,geral
030301,118053100,020101,200,200027,geral
030301,118066100,020101,200,200027,geral
030301,118066200,020101,200,200027,geral
030301,118066300,020101,200,200027,geral
030301,125080000,020101,200,200027,geral
030401,110011210,020201,200,200027,geral
030501,101057000,050101,000,000001,geral
030501,101055000,050101,000,000001,geral
040101,123012200,030101,200,200029,geral
040201,123019300,030101,200,200029,geral
040201,123019400,030101,200,200029,geral
040301,123011100,030101,200,200029,geral
040301,123011200,030101,200,200029,geral
